RxPacketsByTx0;RxPacketsByTx1;RxPacketsByTx2;RxPackets;RxTime;RxId;TxId;TxTime;TxxPos;TxyPos;RxxPos;RxyPos;count;distance
1;0;0;1;2025;0;2;2021;24;30;12;10;1;23.2441
1;1;0;2;2025;1;2;2021;24;30;16;20;2;12.6777
2;1;0;3;2125;0;2;2121;25;30;12;10;3;23.4505
2;2;0;4;2125;1;2;2121;25;30;17;20;4;12.8016
3;2;0;5;2225;0;2;2221;26;30;13;10;5;23.6618
3;3;0;6;2225;1;2;2221;26;30;17;20;6;12.9274
4;3;0;7;2325;0;2;2321;27;30;13;10;7;23.878
4;4;0;8;2325;1;2;2321;27;30;18;20;8;13.0551
5;4;0;9;2425;0;2;2421;29;30;14;10;9;24.6707
5;5;0;10;2425;1;2;2421;29;30;19;20;10;13.857
6;5;0;11;2525;0;2;2521;30;30;15;10;11;24.907
6;6;0;12;2525;1;2;2521;30;30;20;20;12;13.9962
7;6;0;13;2625;0;2;2621;31;30;15;10;13;25.1474
7;7;0;14;2625;1;2;2621;31;30;21;20;14;14.1369
8;7;0;15;2725;0;2;2721;32;30;16;10;15;25.3919
8;8;0;16;2725;1;2;2721;32;30;21;20;16;14.279
9;8;0;17;2825;0;2;2821;33;30;16;10;17;25.6403
9;9;0;18;2825;1;2;2821;33;30;22;20;18;14.4224
10;9;0;19;2828;0;1;2824;22;20;16;10;19;11.1922
10;9;1;20;2828;2;1;2824;22;20;33;30;20;15.5799
10;10;1;21;2905;1;0;2901;17;10;23;20;21;11.7911
10;10;2;22;2905;2;0;2901;17;10;34;30;22;26.8212
11;10;2;23;2925;0;2;2921;35;30;17;10;23;26.5388
11;11;2;24;2925;1;2;2921;35;30;23;20;24;15.3097
12;11;2;25;2928;0;1;2924;23;20;17;10;25;11.3774
12;11;3;26;2928;2;1;2924;23;20;35;30;26;15.7338
12;12;3;27;3005;1;0;3001;18;10;24;20;27;11.6864
12;12;4;28;3005;2;0;3001;18;10;36;30;28;26.9549
13;12;4;29;3025;0;2;3021;36;30;18;10;29;26.8034
13;13;4;30;3025;1;2;3021;36;30;24;20;30;15.4617
14;13;4;31;3028;0;1;3024;24;20;18;10;31;11.5736
14;13;5;32;3028;2;1;3024;24;20;36;30;32;15.8887
14;14;5;33;3105;1;0;3101;18;10;24;20;33;12.1197
14;14;6;34;3105;2;0;3101;18;10;37;30;34;27.7737
15;14;6;35;3125;0;2;3121;37;30;18;10;35;27.0714
15;15;6;36;3125;1;2;3121;37;30;25;20;36;15.6148
16;15;6;37;3128;0;1;3124;24;20;18;10;37;11.2834
16;15;7;38;3128;2;1;3124;24;20;37;30;38;16.8382
16;16;7;39;3205;1;0;3201;19;10;25;20;39;12.0078
16;16;8;40;3205;2;0;3201;19;10;38;30;40;27.9128
17;16;8;41;3225;0;2;3221;38;30;19;10;41;27.3425
17;17;8;42;3225;1;2;3221;38;30;25;20;42;15.7689
18;17;8;43;3228;0;1;3224;25;20;19;10;43;11.4742
18;17;9;44;3228;2;1;3224;25;20;38;30;44;16.9995
18;18;9;45;3305;1;0;3301;19;10;26;20;45;12.4685
18;18;10;46;3305;2;0;3301;19;10;39;30;46;28.7628
19;18;10;47;3325;0;2;3321;39;30;19;10;47;27.6168
19;19;10;48;3325;1;2;3321;39;30;26;20;48;15.9241
20;19;10;49;3328;0;1;3324;26;20;19;10;49;11.6755
20;19;11;50;3328;2;1;3324;26;20;39;30;50;17.1617
20;20;11;51;3405;1;0;3401;20;10;27;20;51;12.3501
20;20;12;52;3405;2;0;3401;20;10;40;30;52;28.9068
21;20;12;53;3425;0;2;3421;41;30;20;10;53;28.6003
21;21;12;54;3425;1;2;3421;41;30;27;20;54;16.8748
22;21;12;55;3428;0;1;3424;27;20;20;10;55;11.8869
22;21;13;56;3428;2;1;3424;27;20;41;30;56;17.3246
22;22;13;57;3505;1;0;3501;21;10;28;20;57;12.2338
22;22;14;58;3505;2;0;3501;21;10;42;30;58;29.0516
23;22;14;59;3525;0;2;3521;42;30;21;10;59;28.8875
23;23;14;60;3525;1;2;3521;42;30;28;20;60;17.0363
24;23;14;61;3528;0;1;3524;28;20;21;10;61;12.1079
24;23;15;62;3528;2;1;3524;28;20;42;30;62;17.4883
24;24;15;63;3605;1;0;3601;21;10;28;20;63;12.7115
24;24;16;64;3605;2;0;3601;21;10;43;30;64;29.9333
25;24;16;65;3625;0;2;3621;43;30;21;10;65;29.1775
25;25;16;66;3625;1;2;3621;43;30;29;20;66;17.1986
26;25;16;67;3628;0;1;3624;28;20;21;10;67;11.78
26;25;17;68;3628;2;1;3624;28;20;43;30;68;18.4855
26;26;17;69;3705;1;0;3701;22;10;29;20;69;12.589
26;26;18;70;3705;2;0;3701;22;10;44;30;70;30.0824
27;26;18;71;3725;0;2;3721;44;30;22;10;71;29.47
27;27;18;72;3725;1;2;3721;44;30;29;20;72;17.3617
28;27;18;73;3728;0;1;3724;29;20;22;10;73;11.9962
28;27;19;74;3728;2;1;3724;29;20;44;30;74;18.654
28;28;19;75;3805;1;0;3801;22;10;30;20;75;13.0904
28;28;20;76;3805;2;0;3801;22;10;45;30;76;30.9891
29;28;20;77;3825;0;2;3821;45;30;22;10;77;29.765
29;29;20;78;3825;1;2;3821;45;30;30;20;78;17.5256
30;29;20;79;3828;0;1;3824;30;20;22;10;79;12.2217
30;29;21;80;3828;2;1;3824;30;20;45;30;80;18.8232
30;30;21;81;3905;1;0;3901;23;10;31;20;81;12.9623
30;30;22;82;3905;2;0;3901;23;10;46;30;82;31.1421
31;30;22;83;3925;0;2;3921;47;30;23;10;83;30.8162
31;31;22;84;3925;1;2;3921;47;30;31;20;84;18.5237
32;31;22;85;3928;0;1;3924;31;20;23;10;85;12.456
32;31;23;86;3928;2;1;3924;31;20;47;30;86;18.9929
32;32;23;87;4005;1;0;4001;24;10;32;20;87;12.8359
32;32;24;88;4005;2;0;4001;24;10;48;30;88;31.2957
33;32;24;89;4025;0;2;4021;48;30;24;10;89;31.1216
