TxTime;TxId;TxxPos;TxyPos;platoon-num;platoon-destination;allow;request
2732;0;67;0;4;110;10;10
2832;0;68;0;4;110;10;10
2932;0;69;0;4;110;10;10
3032;0;70;0;4;110;10;10
3132;0;71;0;4;110;10;10
3232;0;72;0;4;110;10;10
3332;0;73;0;4;110;10;10
3432;0;74;0;4;110;10;10
3532;0;75;0;4;110;10;10
3632;0;76;0;4;110;10;10
3732;0;77;0;4;110;10;10
3832;0;78;0;4;110;10;10
3932;0;79;0;4;110;10;10
4032;0;80;0;4;110;1;1
4132;0;81;0;5;110;1;1
4232;0;82;0;5;110;1;1
4332;0;83;0;5;110;1;1
4432;0;84;0;5;110;1;1
4532;0;85;0;5;110;1;1
4632;0;86;0;5;110;1;1
4732;0;87;0;5;110;1;1
4832;0;88;0;5;110;1;1
4932;0;89;0;5;110;1;1
5032;0;90;0;5;110;1;1
5132;0;91;0;5;110;1;1
5232;0;92;0;5;110;1;1
5332;0;93;0;5;110;1;1
5432;0;94;0;5;110;1;1
5532;0;95;0;5;110;1;1
5632;0;96;0;5;110;1;1
5732;0;97;0;5;110;1;1
5832;0;98;0;5;110;1;1
5932;0;99;0;5;110;1;1
6032;0;100;0;5;110;1;1
6132;0;101;0;5;110;1;1
6232;0;102;0;5;110;1;1
6332;0;103;0;5;110;1;1
6432;0;104;0;5;110;1;1
6532;0;105;0;5;110;1;1
6632;0;106;0;5;110;1;1
6732;0;107;0;5;110;1;1
6832;0;108;0;5;110;1;1
6932;0;109;0;5;110;1;1
7032;0;110;0;5;110;1;1
7132;0;111;0;5;110;1;1
7232;0;112;0;5;110;1;1
7332;0;113;0;5;110;1;1
7432;0;114;0;5;110;1;1
7532;0;115;0;5;110;1;1
7632;0;116;0;5;110;1;1
7732;0;117;0;5;110;1;1
7832;0;118;0;5;110;1;1
7932;0;119;0;5;110;1;1
8032;0;120;0;5;110;1;1
8132;0;121;0;5;110;1;1
8232;0;122;0;5;110;1;1
8332;0;123;0;5;110;1;1
8432;0;124;0;5;110;1;1
8532;0;125;0;5;110;1;1
8632;0;126;0;5;110;1;1
8732;0;127;0;5;110;1;1
8832;0;128;0;5;110;1;1
8932;0;129;0;5;110;1;1
9032;0;130;0;5;110;1;1
9132;0;131;0;5;110;1;1
9232;0;132;0;5;110;1;1
9332;0;133;0;5;110;1;1
9432;0;134;0;5;110;1;1
9532;0;135;0;5;110;1;1
9632;0;136;0;5;110;1;1
9732;0;137;0;5;110;1;1
9832;0;138;0;5;110;1;1
9932;0;139;0;5;110;1;1
10032;0;140;0;5;110;1;1
10132;0;141;0;5;110;1;1
10232;0;142;0;5;110;1;1
10332;0;143;0;5;110;1;1
10432;0;144;0;5;110;1;1
10532;0;145;0;5;110;1;1
10632;0;146;0;5;110;1;1
10732;0;147;0;5;110;1;1
10832;0;148;0;5;110;1;1
10932;0;149;0;5;110;1;1
11032;0;150;0;5;110;1;1
11132;0;151;0;5;110;1;1
11232;0;152;0;5;110;1;1
11332;0;153;0;5;110;1;1
11432;0;154;0;5;110;1;1
11532;0;155;0;5;110;1;1
11632;0;156;0;5;110;1;1
11732;0;157;0;5;110;1;1
11832;0;158;0;5;110;1;1
11932;0;159;0;5;110;1;1
12032;0;160;0;5;110;1;1
12132;0;161;0;5;110;1;1
12232;0;162;0;5;110;1;1
12332;0;163;0;5;110;1;1
12432;0;164;0;5;110;1;1
12532;0;165;0;5;110;1;1
12632;0;166;0;5;110;1;1
12732;0;167;0;5;110;1;1
12832;0;168;0;5;110;1;1
12932;0;169;0;5;110;1;1
13032;0;170;0;5;110;1;1
13132;0;171;0;5;110;1;1
13232;0;172;0;5;110;1;1
13332;0;173;0;5;110;1;1
13432;0;174;0;5;110;1;1
13532;0;175;0;5;110;1;1
13632;0;176;0;5;110;1;1
13732;0;177;0;5;110;1;1
13832;0;178;0;5;110;1;1
13932;0;179;0;5;110;1;1
14032;0;180;0;5;110;1;1
14132;0;181;0;5;110;1;1
14232;0;182;0;5;110;1;1
14332;0;183;0;5;110;1;1
14432;0;184;0;5;110;1;1
14532;0;185;0;5;110;1;1
14632;0;186;0;5;110;1;1
14732;0;187;0;5;110;1;1
14832;0;188;0;5;110;1;1
14932;0;189;0;5;110;1;1
15032;0;190;0;5;110;1;1
15132;0;191;0;5;110;1;1
15232;0;192;0;5;110;1;1
15332;0;193;0;5;110;1;1
15432;0;194;0;5;110;1;1
15532;0;195;0;5;110;1;1
15632;0;196;0;5;110;1;1
15732;0;197;0;5;110;1;1
15832;0;198;0;5;110;1;1
15932;0;199;0;5;110;1;1
16032;0;200;0;5;110;1;1
16132;0;201;0;5;110;1;1
16232;0;202;0;5;110;1;1
16332;0;203;0;5;110;1;1
16432;0;204;0;5;110;1;1
16532;0;205;0;5;110;1;1
16632;0;206;0;5;110;1;1
16732;0;207;0;5;110;1;1
16832;0;208;0;5;110;1;1
16932;0;209;0;5;110;1;1
17032;0;210;0;5;110;1;1
17132;0;211;0;5;110;1;1
17232;0;212;0;5;110;1;1
17332;0;213;0;5;110;1;1
17432;0;214;0;5;110;1;1
17532;0;215;0;5;110;1;1
17632;0;216;0;5;110;1;1
17732;0;217;0;5;110;1;1
17832;0;218;0;5;110;1;1
17932;0;219;0;5;110;1;1
18032;0;220;0;5;110;1;1
18132;0;221;0;5;110;1;1
18232;0;222;0;5;110;1;1
18332;0;223;0;5;110;1;1
18432;0;224;0;5;110;1;1
18532;0;225;0;5;110;1;1
18632;0;226;0;5;110;1;1
18732;0;227;0;5;110;1;1
18832;0;228;0;5;110;1;1
18932;0;229;0;5;110;1;1
19032;0;230;0;5;110;1;1
19132;0;231;0;5;110;1;1
19232;0;232;0;5;110;1;1
19332;0;233;0;5;110;1;1
19432;0;234;0;5;110;1;1
19532;0;235;0;5;110;1;1
19632;0;236;0;5;110;1;1
19732;0;237;0;5;110;1;1
19832;0;238;0;5;110;1;1
19932;0;239;0;5;110;1;1
20032;0;240;0;5;110;1;1
